organelle,wavelength,intensity,experiment,field_of_view
peroxisome,493.745,0.6355860591022191,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
peroxisome,503.735,0.25629273325506896,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
vacuole,463.8,0.252290234718907,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
vacuole,473.78,0.4238509333651977,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
vacuole,483.765,0.5540123823563559,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
vacuole,493.745,0.7079257323721707,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
vacuole,503.735,0.29486949034653925,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
peroxisome,463.8,0.4012281185252425,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
peroxisome,473.78,0.7822120586468558,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
peroxisome,483.765,0.7252555409836889,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
peroxisome,493.745,0.6346295811924797,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
peroxisome,503.735,0.2558110983251977,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
vacuole,463.8,0.2907831170746019,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
vacuole,473.78,0.43977539607100713,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
vacuole,483.765,0.5600841260556495,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
vacuole,493.745,0.7107307522792338,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
vacuole,503.735,0.29546552103650126,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
peroxisome,463.8,0.41321061625183136,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
