YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,19.30975369,0.247174843,78.12184075
0.001232162,0.0844948,11.10275543,0.16190814,68.57441158
0,0,2.172828772,0.054849064,39.61469175
0,0,9.696373955,0.213798336,45.35289724
0.000511788,0.053982789,12.3212091,0.116812088,105.4788875
0,0,13.9741102,0.308172304,45.34512028
0,0,3.0528104,0.082101189,37.1835103
0,0,9.913196648,0.188007841,52.7275704
0,0,2.410280044,0.064913811,37.13046596
0.003885628,0.166642522,3.675102474,0.085692893,42.88689952
0,0,6.693975948,0.149894308,44.65797303
0,0,2.672832908,0.066126145,40.42021369
0.008389203,0.697082101,28.5362051,0.343425871,83.09276481
0,0,18.015521,0.276449606,65.1674685
0,0,6.639034921,0.140238996,47.34086163
0,0,8.019763269,0.200454917,40.00781517
0,0,4.840967124,0.104867261,46.16280704
0.004064243,0.237054856,4.231566478,0.072549094,58.32693759
0,0,1.966009917,0.042533063,46.2230972
0.001785931,0.124395122,13.57313386,0.194868387,69.65282604
0.007924317,0.490539256,16.51553919,0.266796921,61.90303509
0,0,5.353307889,0.100338327,53.35257287
0.002501866,0.180724989,7.885556328,0.109163661,72.2360927
0,0,7.500934596,0.193203744,38.82396087
0,0,15.6968306,0.196284053,79.9699739
0.009930373,0.701776256,19.99820104,0.282981365,70.6696748
0.001500977,0.056329867,4.201154235,0.111944768,37.52881281
0,0,9.2735524,0.133711079,69.35515323
0,0,5.645565124,0.113547324,49.71993119
0.000806937,0.051635711,11.62342982,0.181645027,63.98980475
0.006551094,0.413085689,9.549070453,0.151437962,63.05598892
0.009052263,0.438903545,2.71976547,0.056094404,48.48550423
0,0,4.423188104,0.075596197,58.51072242
0,0,1.748007294,0.036600289,47.75938476
0,0,3.98269989,0.063297927,62.91991054
0,0,9.161992404,0.225803957,40.5749861
0,0,12.049176,0.167084223,72.11438502
0,0,5.851336122,0.152939208,38.2592286
0,0,12.20019512,0.233297363,52.29461225
0.002347994,0.098577267,8.521672947,0.202976154,41.98361625
0.008589768,0.715858723,18.52058898,0.222233187,83.33853848
0,0,3.460231466,0.06028926,57.39382867
0.001466285,0.051635711,6.725064624,0.190969854,35.21532055
0.006079581,0.333285045,11.08880781,0.202275217,54.82039753
0.007445196,0.704123334,21.35883485,0.225842133,94.5741812
0,0,2.643694487,0.084718176,31.20575298
0,0,4.649014285,0.079071155,58.79532508
0.001109506,0.093883111,36.00415866,0.4254954,84.61703386
0,0,12.13111416,0.195136698,62.16726164
0,0,3.550604711,0.102666903,34.58373268
0,0,21.34744512,0.333406945,64.02819563
